,logFC,AveExpr,t,P.Value,adj.P.Val,B
AT5G02230,-1.21942430738755,5.84754669567822,-4.39646981489638,0.000259137430980288,0.00533980160807866,0.263128772351265
AT1G58270,0.662666200563063,7.45034910596189,4.39564109204818,0.000259647694696994,0.00534509121505139,0.201475780874197
AT2G35690,-0.485058783229715,4.2120917238589,-4.39376626033203,0.00026080579819817,0.00536369387904139,0.371797414802084
AT5G64230,-0.952560706517978,2.2522920106182,-4.39294356363742,0.000261315622845748,0.00536835095716024,0.557365719810761
AT2G40130,1.5299234524515,2.22666351293312,4.39213228071889,0.000261819354417878,0.00536835095716024,0.54891112210368
AT1G63810,0.894271323360878,5.09107620767322,4.39200592489393,0.000261897897397255,0.00536835095716024,0.269194752906506
AT3G27880,0.598813691258049,4.19895668916709,4.39175987913173,0.000262050907728553,0.00536835095716024,0.378038784570677
AT2G16890,1.04638021881404,5.03934436259232,4.39113148343274,0.000262442100409252,0.00537088946802349,0.280386451426395
AT1G16850,1.14541716661304,2.0425693938827,4.39074274335021,0.000262684394759593,0.00537088946802349,0.554172369680693
AT3G19240,-0.492122198643291,5.77105919779793,-4.38983818015556,0.000263249061700568,0.00537721920605424,0.219788548985947
AT3G11520,1.07267077887097,3.99905304922626,4.3876542798994,0.000264617374005632,0.00539993634466479,0.377450892192196
AT1G69680,-0.57333892170628,3.34264907401161,-4.38712203901283,0.000264951927874859,0.00540153446770022,0.451073446808981
AT5G58210,0.843963508871918,3.56170022718975,4.38639093882403,0.000265412172402266,0.00540347819811313,0.43854928210303
AT1G08410,0.775568722130649,4.66270478486188,4.38598536120729,0.000265667839007092,0.00540347819811313,0.306978804766493
AT3G45960,2.11724788856185,0.438267534225865,4.38575008297031,0.000265816266197501,0.00540347819811313,0.378231847345778
AT2G46270,0.606493829033195,5.4306035296323,4.38448442183413,0.000266616148647722,0.00541039778693599,0.237507309014224
AT5G17780,-1.044989653605,1.8964316525847,-4.38439937181633,0.000266669985798221,0.00541039778693599,0.539996996926932
AT3G62930,1.64181368567262,2.45992012577601,4.38326332281982,0.000267390158837857,0.0054197928349058,0.52715172325474
AT1G20700,1.68747647692204,1.60500776296242,4.38279798572585,0.000267685712394756,0.00542057139027999,0.533226347126375
AT5G44400,2.72180034511326,2.54493865184856,4.38119880214407,0.000268703918286877,0.00543147143898695,0.532166590692569
AT5G63540,1.12992322931972,1.40015442738903,4.38114332158795,0.000268739312659554,0.00543147143898695,0.529711335305538
AT1G09630,0.577188157896013,5.03887070776778,4.3785043064968,0.000270428316187803,0.00545317592039413,0.250113373758025
AT4G04670,0.824082430079337,3.94392207423918,4.37828404045175,0.00027056977022698,0.00545317592039413,0.36859938038799
AT4G05120,0.667877880732691,3.05759247552435,4.37825367047236,0.000270589279541378,0.00545317592039413,0.467906564379811
AT3G14660,-0.990160955307977,5.77267472992035,-4.37778963792248,0.000270887544239435,0.00545397271496398,0.18508721059275
AT5G49010,0.678948484721265,2.53676541113801,4.37523098770342,0.000272538096745953,0.00548196858721822,0.498621626988736
AT3G47460,0.89925864773472,3.93740799311321,4.37327093828507,0.000273809325624476,0.00550228845010864,0.347036231719593
AT3G13150,1.07890304303058,3.58517311025516,4.37125136335462,0.000275125387401637,0.00552346968231095,0.395617075563732
AT4G15830,1.11145927929591,3.99805542066469,4.36999263996442,0.000275948848187771,0.00553216869860716,0.336782428913963
AT1G22030,0.692184074678472,4.49069366924829,4.3697870795749,0.000276083561239788,0.00553216869860716,0.275584003116024
AT5G16010,-0.985223764060653,5.00847464411639,-4.36872658305133,0.000276779602198324,0.0055393003153128,0.243708319067061
